polid,politician,firstvote,dateofdeath,w_deflated,dod_father,source_father,pod_father,dod_mother,source_mother,pod_mother,wealth_father,wealth_mother,wealth_misc,misc1,misc2
00273,Corver Hooft,1878-05-24,1889-03-16,"767431,2080",1855-07-25,https://nl.wikipedia.org/wiki/Jan_Corver_Hooft,s-Graveland,1837-12-03,https://www.genealogieonline.nl/stamboom-tolsma/I39447.php,,,,,,
00279,Cremer,1893-06-23,1923-08-14,NA,1869-06-20,https://www.geni.com/people/Jacob-Theodoor-Cremer/6000000016289378610,Arnhem,1874-12-10,https://www.geni.com/people/Louise-Water/6000000016289416424,Arnhem,,,,,
00280,Cremers,1878-05-24,1896-10-27,NA,1845-07-30,https://nl.wikipedia.org/wiki/Franciscus_Jacobus_Joannes_Cremers,Zwolle,1842-04-12,https://www.openarch.nl/gra:5ee990f1-7411-cf39-8b33-319846932de3,Groningen,,,,,
00293,A. van Dedem,1893-06-23,1931-03-01,NA,,,,,,,,,,,
00294,G. van Dedem,1893-06-23,1911-03-18,"79085,0752",1866-05-28,https://www.geni.com/people/Godert-Willem-van-Dedem-van-den-Berg-baron/6000000016794079360,Dalfsen,1843-02-02,https://www.geni.com/people/Grietjen-Boxem/6000000016794130165,Dalfsen,,,,,
00299,van Delden,1878-05-24,1898-11-08,"107548,2487",1858-08-07,https://www.geni.com/people/Steven-van-Delden/6000000017955695351,Winterswijk?,1871,https://www.geni.com/people/Engelina-Elisabeth-Schutte/6000000017955695357,,,,,,
00303,van Deventer,1914-06-03,1915-09-27,"569962,4480",1892-05-14,http://www.biografischportaal.nl/persoon/99433997,Dordrecht,1910-12-25,https://www.openarch.nl/hga:E8D6E7AD-C584-44F2-84F1-C63267B0B2E9,Den Haag,1983.76,10476.57,,,
00318,Dobbelmann,1893-06-23,1912-12-18,"1143527,6178",1880-02-29,https://gw.geneanet.org/assel209?lang=en&pz=joannes&nz=asselberghs&p=johann+peter&n=dobbelmann,Nijmegen,1886-11-27,https://www.geni.com/people/Maria-Elisabeth-Allegonda-Soiron/6000000028892163968,Nijmegen,238498.45,,,,
00325,Dolk,1911-03-10,1932-02-26,"82963,9248",1885-06-25,https://www.geni.com/people/Jakob-Dolk/6000000023794685073,Etten-Leur?,1881-08-01,https://www.geni.com/people/Wilhelmina-van-der-Burgt/6000000023794419298,Etten-Leur?,253233.67,,,,
00334,Donner,1893-06-23,1903-08-31,"29700,8111",1839-08-14,https://www.geni.com/people/Johannes-Donner/6000000026587193211,Arnhem,1863-08-19,https://www.geni.com/people/Aleijda-Koopman/6000000026587281268,Arnhem,,,1208.71,Broers en zussen:,"https://www.geni.com/people/Johannes-Donner/6000000026586702625, https://www.geni.com/people/Gotfried-Donner/6000000026587232395, https://www.geni.com/people/Emilia-Donner/6000000026586706527"
